criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,warm_start,n_estimators,ccp_alpha,max_samples,random_state,verbose,n_jobs,min_impurity_split,score,AOD,TPR,FPR,counter,timer,write_file
gini,8,3,5,7.702505561708024e-05,sqrt,,0.0,True,True,True,58,0.0,,2019,0,,,0.744,0.04656150376391912,0.05851462865716428,0.03460837887067396,18,2.5252201557159424,"./trained_models/randomForest_credit_9_gini_8_3_5_7.702505561708024e-05_sqrt_None_0.0_True_True_True_58_0.0_None_2019_0_None_None.pkl"
gini,15,3,5,7.702505561708024e-05,sqrt,,0.0,True,True,True,58,0.0,,2019,0,,,0.764,0.06254478009301961,0.06376594148537135,0.06132361870066788,19,2.6349024772644043,"./trained_models/randomForest_credit_9_gini_15_3_5_7.702505561708024e-05_sqrt_None_0.0_True_True_True_58_0.0_None_2019_0_None_None.pkl"
log_loss,,4,3,0.061299139516801486,auto,,0.0,True,True,False,97,0.0,,2019,0,,,0.74,0.015170345409667541,0.0015003750937734595,0.028840315725561623,20,2.8036768436431885,"./trained_models/randomForest_credit_9_log_loss_None_4_3_0.061299139516801486_auto_None_0.0_True_True_False_97_0.0_None_2019_0_None_None.pkl"
gini,19,3,5,7.702505561708024e-05,sqrt,,0.0,True,True,True,58,0.0,,2019,0,,,0.764,0.06254478009301961,0.06376594148537135,0.06132361870066788,21,2.9143362045288086,"./trained_models/randomForest_credit_9_gini_19_3_5_7.702505561708024e-05_sqrt_None_0.0_True_True_True_58_0.0_None_2019_0_None_None.pkl"
entropy,,10,5,0.07882803006472187,sqrt,,0.0,True,False,True,80,0.0,,2019,0,,,0.712,0.023255813953488372,0.046511627906976744,0.0,22,3.026986837387085,"./trained_models/randomForest_credit_9_entropy_None_10_5_0.07882803006472187_sqrt_None_0.0_True_False_True_80_0.0_None_2019_0_None_None.pkl"
entropy,11,8,3,0.005957031294995313,auto,,0.0,True,False,True,92,0.0,,2019,0,,,0.744,0.028564404306905503,0.00825206301575393,0.048876745598057075,23,3.1892127990722656,"./trained_models/randomForest_credit_9_entropy_11_8_3_0.005957031294995313_auto_None_0.0_True_False_True_92_0.0_None_2019_0_None_None.pkl"
entropy,18,6,3,0.0481461294336393,log2,,0.0,True,False,False,96,0.0,,2019,0,,,0.748,0.053485252005168876,0.09452363090772695,0.012446873102610806,24,3.3283421993255615,"./trained_models/randomForest_credit_9_entropy_18_6_3_0.0481461294336393_log2_None_0.0_True_False_False_96_0.0_None_2019_0_None_None.pkl"
gini,12,3,4,7.702505561708024e-05,sqrt,,0.0,True,True,True,58,0.0,,2019,0,,,0.772,0.05230599544239432,0.08852213053263319,0.01608986035215544,25,3.4440579414367676,"./trained_models/randomForest_credit_9_gini_12_3_4_7.702505561708024e-05_sqrt_None_0.0_True_True_True_58_0.0_None_2019_0_None_None.pkl"
entropy,8,2,1,0.07935922270549814,sqrt,,0.0,True,False,False,96,0.0,,2019,0,,,0.712,0.023255813953488372,0.046511627906976744,0.0,26,3.577469825744629,"./trained_models/randomForest_credit_9_entropy_8_2_1_0.07935922270549814_sqrt_None_0.0_True_False_False_96_0.0_None_2019_0_None_None.pkl"
gini,10,3,4,7.702505561708024e-05,sqrt,,0.0,True,True,True,58,0.0,,2019,0,,,0.772,0.017019509886579104,0.009752438109527362,0.024286581663630846,27,3.6902289390563965,"./trained_models/randomForest_credit_9_gini_10_3_4_7.702505561708024e-05_sqrt_None_0.0_True_True_True_58_0.0_None_2019_0_None_None.pkl"
