solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,score,AOD,TPR,FPR,counter,timer,write_file
liblinear,l1,False,0.5653283529343203,22.90009132224963,True,5.028083583615285,1010,ovr,,,2019,0,False,,0.748,0.07131632634934688,0.09527381845461363,0.04735883424408014,2720,144.37322807312012,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.5653283529343203_22.90009132224963_True_5.028083583615285_1010_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.9270766294916593,22.90009132224963,True,5.028083583615285,1010,ovr,,,2019,0,False,,0.704,0.0,0.0,0.0,2721,144.38176369667053,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_22.90009132224963_True_5.028083583615285_1010_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.9270766294916593,22.90009132224963,True,5.028083583615285,1010,ovr,,,2019,0,False,,0.704,0.0,0.0,0.0,2722,144.39031219482422,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_22.90009132224963_True_5.028083583615285_1010_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.9270766294916593,22.90009132224963,True,5.028083583615285,1010,ovr,,,2019,0,False,,0.704,0.0,0.0,0.0,2723,144.39887237548828,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_22.90009132224963_True_5.028083583615285_1010_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.9270766294916593,22.90009132224963,True,5.028083583615285,1010,ovr,,,2019,0,False,,0.704,0.0,0.0,0.0,2724,144.40742540359497,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_22.90009132224963_True_5.028083583615285_1010_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.9270766294916593,22.90009132224963,True,5.028083583615285,1010,ovr,,,2019,0,False,,0.704,0.0,0.0,0.0,2725,144.41595578193665,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_22.90009132224963_True_5.028083583615285_1010_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.9270766294916593,22.90009132224963,True,5.028083583615285,1010,ovr,,,2019,0,False,,0.704,0.0,0.0,0.0,2726,144.42449307441711,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_22.90009132224963_True_5.028083583615285_1010_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.9270766294916593,22.90009132224963,True,5.028083583615285,1010,ovr,,,2019,0,False,,0.704,0.0,0.0,0.0,2727,144.43265557289124,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_22.90009132224963_True_5.028083583615285_1010_ovr_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.33851337149011046,79.70037515603234,True,8.19382263498843,953,auto,,,2019,0,False,,0.744,0.0707658699738687,0.12453113278319583,0.017000607164541576,2728,144.5961949825287,"./trained_models/logisticRegression_credit_9_lbfgs_l2_False_0.33851337149011046_79.70037515603234_True_8.19382263498843_953_auto_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.9270766294916593,22.90009132224963,True,5.028083583615285,1010,ovr,,,2019,0,False,,0.704,0.0,0.0,0.0,2729,144.60474586486816,"./trained_models/logisticRegression_credit_9_liblinear_l1_False_0.9270766294916593_22.90009132224963_True_5.028083583615285_1010_ovr_None_None_2019_0_False_None.pkl"
