criterion,splitter,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,class_weight,ccp_alpha,score,AOD,TPR,FPR,counter,timer,write_file
entropy,best,,4,1,0.35459423454624656,,2019,,0.0,0.0,,0.0,0.970620842572062,0.01627725006368963,0.0,0.03255450012737926,21,0.4396998882293701,"./trained_models/decisionTree_compas_1_entropy_best_None_4_1_0.35459423454624656_None_2019_None_0.0_None_0.0.pkl"
entropy,best,,4,1,0.35459423454624656,,2019,,0.0,0.0,,0.0,0.970620842572062,0.01627725006368963,0.0,0.03255450012737926,22,0.4562108516693115,"./trained_models/decisionTree_compas_1_entropy_best_None_4_1_0.35459423454624656_None_2019_None_0.0_None_0.0.pkl"
entropy,best,,4,1,0.35459423454624656,,2019,,0.0,0.0,,0.0,0.970620842572062,0.01627725006368963,0.0,0.03255450012737926,23,0.47287964820861816,"./trained_models/decisionTree_compas_1_entropy_best_None_4_1_0.35459423454624656_None_2019_None_0.0_None_0.0.pkl"
gini,random,7,2,1,0.46501766706902065,log2,2019,,0.0,0.0,,0.627821810522764,0.5471175166297118,0.0,0.0,0.0,24,0.4883606433868408,"./trained_models/decisionTree_compas_1_gini_random_7_2_1_0.46501766706902065_log2_2019_None_0.0_None_0.627821810522764.pkl"
gini,best,,4,5,0.2804421999298419,sqrt,2019,,0.0,0.0,,0.2823056186057435,0.5471175166297118,0.0,0.0,0.0,25,0.5041143894195557,"./trained_models/decisionTree_compas_1_gini_best_None_4_5_0.2804421999298419_sqrt_2019_None_0.0_None_0.2823056186057435.pkl"
entropy,random,8,4,3,0.401780651980198,,2019,,0.0,0.0,,0.8531860787110171,0.5471175166297118,0.0,0.0,0.0,26,0.52001953125,"./trained_models/decisionTree_compas_1_entropy_random_8_4_3_0.401780651980198_None_2019_None_0.0_None_0.8531860787110171.pkl"
entropy,best,,4,1,0.35459423454624656,,2019,,0.0,0.0,,0.0,0.970620842572062,0.01627725006368963,0.0,0.03255450012737926,27,0.536505937576294,"./trained_models/decisionTree_compas_1_entropy_best_None_4_1_0.35459423454624656_None_2019_None_0.0_None_0.0.pkl"
entropy,random,15,3,3,0.20496333779473147,auto,2019,,0.0,0.0,,0.41153958653970535,0.5471175166297118,0.0,0.0,0.0,28,0.5522329807281494,"./trained_models/decisionTree_compas_1_entropy_random_15_3_3_0.20496333779473147_auto_2019_None_0.0_None_0.41153958653970535.pkl"
gini,random,19,3,3,0.173325369775326,sqrt,2019,,0.0,0.0,,0.7549868684303216,0.5471175166297118,0.0,0.0,0.0,29,0.5679051876068115,"./trained_models/decisionTree_compas_1_gini_random_19_3_3_0.173325369775326_sqrt_2019_None_0.0_None_0.7549868684303216.pkl"
entropy,best,,3,1,0.35459423454624656,,2019,,0.0,0.0,,0.0,0.970620842572062,0.01627725006368963,0.0,0.03255450012737926,30,0.5844674110412598,"./trained_models/decisionTree_compas_1_entropy_best_None_3_1_0.35459423454624656_None_2019_None_0.0_None_0.0.pkl"
gini,random,12,5,5,0.19045528328975989,sqrt,2019,,0.0,0.0,,0.11777092363867989,0.8497782705099778,0.0439321844442752,0.0661189090494122,0.02174545983913819,31,0.6005287170410156,"./trained_models/decisionTree_compas_1_gini_random_12_5_5_0.19045528328975989_sqrt_2019_None_0.0_None_0.11777092363867989.pkl"
entropy,best,,2,1,0.35459423454624656,,2019,,0.0,0.0,,0.0,0.970620842572062,0.01627725006368963,0.0,0.03255450012737926,32,0.6171009540557861,"./trained_models/decisionTree_compas_1_entropy_best_None_2_1_0.35459423454624656_None_2019_None_0.0_None_0.0.pkl"
entropy,best,,2,1,0.35459423454624656,,2019,,0.0,0.0,,0.0,0.970620842572062,0.01627725006368963,0.0,0.03255450012737926,33,0.6339049339294434,"./trained_models/decisionTree_compas_1_entropy_best_None_2_1_0.35459423454624656_None_2019_None_0.0_None_0.0.pkl"
gini,random,,5,2,0.023098107525509476,log2,2019,,0.0,0.0,,0.8557378650770879,0.5471175166297118,0.0,0.0,0.0,34,0.6497757434844971,"./trained_models/decisionTree_compas_1_gini_random_None_5_2_0.023098107525509476_log2_2019_None_0.0_None_0.8557378650770879.pkl"
gini,best,11,5,1,0.4036450019593512,auto,2019,,0.0,0.0,,0.004077913416239178,0.6319290465631929,0.11455377443874284,0.11674084217733649,0.1123667067001492,35,0.6658849716186523,"./trained_models/decisionTree_compas_1_gini_best_11_5_1_0.4036450019593512_auto_2019_None_0.0_None_0.004077913416239178.pkl"
gini,best,12,4,1,0.4036450019593512,auto,2019,,0.0,0.0,,0.004077913416239178,0.6319290465631929,0.11455377443874284,0.11674084217733649,0.1123667067001492,36,0.6819503307342529,"./trained_models/decisionTree_compas_1_gini_best_12_4_1_0.4036450019593512_auto_2019_None_0.0_None_0.004077913416239178.pkl"
gini,best,8,2,5,0.4782214443672206,log2,2019,,0.0,0.0,,0.404169145420027,0.5471175166297118,0.0,0.0,0.0,37,0.6977362632751465,"./trained_models/decisionTree_compas_1_gini_best_8_2_5_0.4782214443672206_log2_2019_None_0.0_None_0.404169145420027.pkl"
gini,best,7,4,1,0.4036450019593512,auto,2019,,0.0,0.0,,0.004077913416239178,0.6319290465631929,0.11455377443874284,0.11674084217733649,0.1123667067001492,38,0.7136797904968262,"./trained_models/decisionTree_compas_1_gini_best_7_4_1_0.4036450019593512_auto_2019_None_0.0_None_0.004077913416239178.pkl"
gini,best,9,4,1,0.4036450019593512,sqrt,2019,,0.0,0.0,,0.004077913416239178,0.6319290465631929,0.11455377443874284,0.11674084217733649,0.1123667067001492,39,0.7296075820922852,"./trained_models/decisionTree_compas_1_gini_best_9_4_1_0.4036450019593512_sqrt_2019_None_0.0_None_0.004077913416239178.pkl"
gini,best,8,4,1,0.4036450019593512,sqrt,2019,,0.0,0.0,,0.004077913416239178,0.6319290465631929,0.11455377443874284,0.11674084217733649,0.1123667067001492,40,0.7456371784210205,"./trained_models/decisionTree_compas_1_gini_best_8_4_1_0.4036450019593512_sqrt_2019_None_0.0_None_0.004077913416239178.pkl"
entropy,random,,5,4,0.03447671690673982,sqrt,2019,,0.0,0.0,,0.8282777934498825,0.5471175166297118,0.0,0.0,0.0,41,0.761462926864624,"./trained_models/decisionTree_compas_1_entropy_random_None_5_4_0.03447671690673982_sqrt_2019_None_0.0_None_0.8282777934498825.pkl"
entropy,best,,2,2,0.21491062006681647,sqrt,2019,,0.0,0.0,,0.4273447522219174,0.5471175166297118,0.0,0.0,0.0,42,0.7772817611694336,"./trained_models/decisionTree_compas_1_entropy_best_None_2_2_0.21491062006681647_sqrt_2019_None_0.0_None_0.4273447522219174.pkl"
gini,best,7,4,1,0.4036450019593512,sqrt,2019,,0.0,0.0,,0.004077913416239178,0.6319290465631929,0.11455377443874284,0.11674084217733649,0.1123667067001492,43,0.7932209968566895,"./trained_models/decisionTree_compas_1_gini_best_7_4_1_0.4036450019593512_sqrt_2019_None_0.0_None_0.004077913416239178.pkl"
entropy,best,12,4,1,0.4036450019593512,sqrt,2019,,0.0,0.0,,0.004077913416239178,0.6319290465631929,0.11455377443874284,0.11674084217733649,0.1123667067001492,44,0.8092551231384277,"./trained_models/decisionTree_compas_1_entropy_best_12_4_1_0.4036450019593512_sqrt_2019_None_0.0_None_0.004077913416239178.pkl"
gini,best,17,5,4,0.011064629793067358,sqrt,2019,,0.0,0.0,,0.9645416975886505,0.5471175166297118,0.0,0.0,0.0,45,0.8256735801696777,"./trained_models/decisionTree_compas_1_gini_best_17_5_4_0.011064629793067358_sqrt_2019_None_0.0_None_0.9645416975886505.pkl"
entropy,best,13,3,2,0.4905560619624416,auto,2019,,0.0,0.0,,0.1363773478793854,0.5471175166297118,0.0,0.0,0.0,46,0.8414576053619385,"./trained_models/decisionTree_compas_1_entropy_best_13_3_2_0.4905560619624416_auto_2019_None_0.0_None_0.1363773478793854.pkl"
gini,random,15,2,5,0.042030609845887454,,2019,,0.0,0.0,,0.3538511068403185,0.970620842572062,0.01627725006368963,0.0,0.03255450012737926,47,0.8583805561065674,"./trained_models/decisionTree_compas_1_gini_random_15_2_5_0.042030609845887454_None_2019_None_0.0_None_0.3538511068403185.pkl"
entropy,best,11,4,1,0.4036450019593512,sqrt,2019,,0.0,0.0,,0.004077913416239178,0.6319290465631929,0.11455377443874284,0.11674084217733649,0.1123667067001492,48,0.8740143775939941,"./trained_models/decisionTree_compas_1_entropy_best_11_4_1_0.4036450019593512_sqrt_2019_None_0.0_None_0.004077913416239178.pkl"
entropy,best,6,4,1,0.4036450019593512,sqrt,2019,,0.0,0.0,,0.004077913416239178,0.6319290465631929,0.11455377443874284,0.11674084217733649,0.1123667067001492,49,0.8898518085479736,"./trained_models/decisionTree_compas_1_entropy_best_6_4_1_0.4036450019593512_sqrt_2019_None_0.0_None_0.004077913416239178.pkl"
