criterion,splitter,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,class_weight,ccp_alpha,score,AOD,TPR,FPR,counter,timer,write_file
gini,best,,2,5,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,22,1.6802864074707031,"./trained_models/decisionTree_census_9_gini_best_None_2_5_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
gini,best,,2,5,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,23,1.7329199314117432,"./trained_models/decisionTree_census_9_gini_best_None_2_5_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
gini,best,,4,2,0.2869480451999357,auto,2019,,0.0,0.0,,0.18778606705661666,0.7565409654833558,0.0,0.0,0.0,24,1.7875664234161377,"./trained_models/decisionTree_census_9_gini_best_None_4_2_0.2869480451999357_auto_2019_None_0.0_None_0.18778606705661666.pkl"
gini,random,,3,3,0.3873550028223233,auto,2019,,0.0,0.0,,0.6967518322999298,0.7565409654833558,0.0,0.0,0.0,25,1.8403782844543457,"./trained_models/decisionTree_census_9_gini_random_None_3_3_0.3873550028223233_auto_2019_None_0.0_None_0.6967518322999298.pkl"
gini,best,5,5,5,0.0506514248843688,auto,2019,,0.0,0.0,,0.944911037751027,0.7565409654833558,0.0,0.0,0.0,26,1.8977034091949463,"./trained_models/decisionTree_census_9_gini_best_5_5_5_0.0506514248843688_auto_2019_None_0.0_None_0.944911037751027.pkl"
gini,best,,2,5,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,27,1.9512221813201904,"./trained_models/decisionTree_census_9_gini_best_None_2_5_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
gini,best,,3,4,0.045503707503972,sqrt,2019,,0.0,0.0,,0.9230576082099028,0.7565409654833558,0.0,0.0,0.0,28,2.0077695846557617,"./trained_models/decisionTree_census_9_gini_best_None_3_4_0.045503707503972_sqrt_2019_None_0.0_None_0.9230576082099028.pkl"
entropy,best,,3,1,0.0975389847572743,sqrt,2019,,0.0,0.0,,0.5965072841819523,0.7565409654833558,0.0,0.0,0.0,29,2.0637354850769043,"./trained_models/decisionTree_census_9_entropy_best_None_3_1_0.0975389847572743_sqrt_2019_None_0.0_None_0.5965072841819523.pkl"
entropy,best,,2,5,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,30,2.1163275241851807,"./trained_models/decisionTree_census_9_entropy_best_None_2_5_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
entropy,best,,2,5,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,31,2.169236660003662,"./trained_models/decisionTree_census_9_entropy_best_None_2_5_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
entropy,best,12,2,5,0.2704790609169679,,2019,,0.0,0.0,,0.5104758668292099,0.7565409654833558,0.0,0.0,0.0,32,2.2268824577331543,"./trained_models/decisionTree_census_9_entropy_best_12_2_5_0.2704790609169679_None_2019_None_0.0_None_0.5104758668292099.pkl"
entropy,best,,2,5,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,33,2.280308961868286,"./trained_models/decisionTree_census_9_entropy_best_None_2_5_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
entropy,random,7,5,2,0.1571956300535245,,2019,,0.0,0.0,,0.4427596264385862,0.7565409654833558,0.0,0.0,0.0,34,2.3357443809509277,"./trained_models/decisionTree_census_9_entropy_random_7_5_2_0.1571956300535245_None_2019_None_0.0_None_0.4427596264385862.pkl"
entropy,best,,2,3,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,35,2.3889150619506836,"./trained_models/decisionTree_census_9_entropy_best_None_2_3_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
gini,best,,4,3,0.08533372624767062,log2,2019,,0.0,0.0,,0.5887977905109484,0.7565409654833558,0.0,0.0,0.0,36,2.444444417953491,"./trained_models/decisionTree_census_9_gini_best_None_4_3_0.08533372624767062_log2_2019_None_0.0_None_0.5887977905109484.pkl"
entropy,best,,2,3,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,37,2.4981584548950195,"./trained_models/decisionTree_census_9_entropy_best_None_2_3_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
entropy,best,,2,3,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,38,2.551250457763672,"./trained_models/decisionTree_census_9_entropy_best_None_2_3_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
gini,random,15,2,5,0.3996425244021354,,2019,,0.0,0.0,,0.5608772268290233,0.7565409654833558,0.0,0.0,0.0,39,2.6052472591400146,"./trained_models/decisionTree_census_9_gini_random_15_2_5_0.3996425244021354_None_2019_None_0.0_None_0.5608772268290233.pkl"
entropy,best,,2,3,0.4298253030051749,sqrt,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,40,2.6580114364624023,"./trained_models/decisionTree_census_9_entropy_best_None_2_3_0.4298253030051749_sqrt_2019_None_0.0_None_0.0.pkl"
entropy,random,15,2,2,0.135306095193394,,2019,,0.0,0.0,,0.752111993652455,0.7565409654833558,0.0,0.0,0.0,41,2.714759349822998,"./trained_models/decisionTree_census_9_entropy_random_15_2_2_0.135306095193394_None_2019_None_0.0_None_0.752111993652455.pkl"
entropy,best,,2,3,0.4298253030051749,sqrt,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,42,2.7678258419036865,"./trained_models/decisionTree_census_9_entropy_best_None_2_3_0.4298253030051749_sqrt_2019_None_0.0_None_0.0.pkl"
gini,random,18,5,1,0.1252214638672864,sqrt,2019,,0.0,0.0,,0.8380452500723778,0.7565409654833558,0.0,0.0,0.0,43,2.8205130100250244,"./trained_models/decisionTree_census_9_gini_random_18_5_1_0.1252214638672864_sqrt_2019_None_0.0_None_0.8380452500723778.pkl"
entropy,best,,2,3,0.4298253030051749,sqrt,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,44,2.873255968093872,"./trained_models/decisionTree_census_9_entropy_best_None_2_3_0.4298253030051749_sqrt_2019_None_0.0_None_0.0.pkl"
gini,best,,2,3,0.4298253030051749,sqrt,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,45,2.926177740097046,"./trained_models/decisionTree_census_9_gini_best_None_2_3_0.4298253030051749_sqrt_2019_None_0.0_None_0.0.pkl"
gini,best,,2,4,0.4298253030051749,sqrt,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,46,2.9792568683624268,"./trained_models/decisionTree_census_9_gini_best_None_2_4_0.4298253030051749_sqrt_2019_None_0.0_None_0.0.pkl"
gini,best,,2,4,0.4298253030051749,sqrt,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,47,3.0331151485443115,"./trained_models/decisionTree_census_9_gini_best_None_2_4_0.4298253030051749_sqrt_2019_None_0.0_None_0.0.pkl"
gini,best,,2,4,0.4298253030051749,sqrt,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,48,3.0855021476745605,"./trained_models/decisionTree_census_9_gini_best_None_2_4_0.4298253030051749_sqrt_2019_None_0.0_None_0.0.pkl"
gini,best,,4,2,0.474036750321498,sqrt,2019,,0.0,0.0,,0.19116997505859523,0.7565409654833558,0.0,0.0,0.0,49,3.138042688369751,"./trained_models/decisionTree_census_9_gini_best_None_4_2_0.474036750321498_sqrt_2019_None_0.0_None_0.19116997505859523.pkl"
