criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,warm_start,n_estimators,ccp_alpha,max_samples,random_state,verbose,n_jobs,min_impurity_split,score,AOD,TPR,FPR,counter,timer,write_file
gini,,10,1,0.0,,,0.0,True,False,False,99,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,20,8.072595596313477,"./trained_models/randomForest_compas_3_gini_None_10_1_0.0_None_None_0.0_True_False_False_99_0.0_None_2019_0_None_None.pkl"
gini,,10,1,0.0,,,0.0,True,False,False,99,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,21,8.51271653175354,"./trained_models/randomForest_compas_3_gini_None_10_1_0.0_None_None_0.0_True_False_False_99_0.0_None_2019_0_None_None.pkl"
gini,,10,1,0.0,,,0.0,True,False,False,99,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,22,8.954450845718384,"./trained_models/randomForest_compas_3_gini_None_10_1_0.0_None_None_0.0_True_False_False_99_0.0_None_2019_0_None_None.pkl"
gini,,10,1,0.0,,,0.0,True,False,False,99,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,23,9.397672414779663,"./trained_models/randomForest_compas_3_gini_None_10_1_0.0_None_None_0.0_True_False_False_99_0.0_None_2019_0_None_None.pkl"
gini,,10,1,0.0,,,0.0,True,False,False,99,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,24,9.840412616729736,"./trained_models/randomForest_compas_3_gini_None_10_1_0.0_None_None_0.0_True_False_False_99_0.0_None_2019_0_None_None.pkl"
gini,,10,1,0.0,,,0.0,True,False,False,99,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,25,10.28488278388977,"./trained_models/randomForest_compas_3_gini_None_10_1_0.0_None_None_0.0_True_False_False_99_0.0_None_2019_0_None_None.pkl"
gini,9,6,4,0.07620238012819601,sqrt,,0.0,True,False,True,98,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,26,10.504556894302368,"./trained_models/randomForest_compas_3_gini_9_6_4_0.07620238012819601_sqrt_None_0.0_True_False_True_98_0.0_None_2019_0_None_None.pkl"
log_loss,14,9,3,0.03305757347329165,auto,,0.0,True,False,True,84,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,27,10.713667869567871,"./trained_models/randomForest_compas_3_log_loss_14_9_3_0.03305757347329165_auto_None_0.0_True_False_True_84_0.0_None_2019_0_None_None.pkl"
log_loss,,6,2,0.03724365641212857,sqrt,,0.0,True,True,True,100,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,28,11.009904623031616,"./trained_models/randomForest_compas_3_log_loss_None_6_2_0.03724365641212857_sqrt_None_0.0_True_True_True_100_0.0_None_2019_0_None_None.pkl"
gini,,7,5,0.03256394272654107,log2,,0.0,True,False,True,60,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,29,11.163511991500854,"./trained_models/randomForest_compas_3_gini_None_7_5_0.03256394272654107_log2_None_0.0_True_False_True_60_0.0_None_2019_0_None_None.pkl"
gini,,9,1,0.0,,,0.0,True,False,False,99,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,30,11.60798168182373,"./trained_models/randomForest_compas_3_gini_None_9_1_0.0_None_None_0.0_True_False_False_99_0.0_None_2019_0_None_None.pkl"
log_loss,12,7,5,0.024540259899966613,auto,,0.0,True,True,False,76,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,31,11.845736742019653,"./trained_models/randomForest_compas_3_log_loss_12_7_5_0.024540259899966613_auto_None_0.0_True_True_False_76_0.0_None_2019_0_None_None.pkl"
entropy,,6,5,0.06489362606584703,auto,,0.0,True,False,False,63,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,32,12.000075101852417,"./trained_models/randomForest_compas_3_entropy_None_6_5_0.06489362606584703_auto_None_0.0_True_False_False_63_0.0_None_2019_0_None_None.pkl"
gini,,9,1,0.0,,,0.0,True,False,True,99,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,33,12.445128679275513,"./trained_models/randomForest_compas_3_gini_None_9_1_0.0_None_None_0.0_True_False_True_99_0.0_None_2019_0_None_None.pkl"
