solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,score,AOD,TPR,FPR,counter,timer,write_file
sag,l2,False,0.8079471203846263,59.75685296954281,False,7.781969558606531,956,multinomial,,,2019,0,True,,0.8817128196054145,0.07718701473601297,0.13116970926301555,0.0232043202090104,17,8.180931329727173,"./trained_models/logisticRegression_bank_1_sag_l2_False_0.8079471203846263_59.75685296954281_False_7.781969558606531_956_multinomial_None_None_2019_0_True_None.pkl"
lbfgs,l2,False,0.5541953028189692,46.5873480862243,False,2.8656701675184477,964,auto,,,2019,0,True,,0.8955144651862338,0.007413806933228191,0.005934941026218887,0.008892672840237495,18,9.34194827079773,"./trained_models/logisticRegression_bank_1_lbfgs_l2_False_0.5541953028189692_46.5873480862243_False_2.8656701675184477_964_auto_None_None_2019_0_True_None.pkl"
newton-cg,l2,False,0.9692325537731685,82.03758580357756,False,3.3965747310073735,1004,ovr,,,2019,0,False,,0.8954259930991773,0.006324482314491821,0.0037562917887461467,0.008892672840237495,19,9.718963146209717,"./trained_models/logisticRegression_bank_1_newton-cg_l2_False_0.9692325537731685_82.03758580357756_False_3.3965747310073735_1004_ovr_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.04349082619000564,93.37165019790864,True,2.4657811895112847,1043,auto,,,2019,0,True,,0.8954259930991773,0.004974333491269248,0.0015776425512733505,0.008371024431265146,20,11.30880355834961,"./trained_models/logisticRegression_bank_1_lbfgs_l2_False_0.04349082619000564_93.37165019790864_True_2.4657811895112847_1043_auto_None_None_2019_0_True_None.pkl"
sag,l2,False,0.8079471203846263,59.75685296954281,False,7.781969558606531,956,multinomial,,,2019,0,True,,0.8817128196054145,0.07718701473601297,0.13116970926301555,0.0232043202090104,21,11.418076038360596,"./trained_models/logisticRegression_bank_1_sag_l2_False_0.8079471203846263_59.75685296954281_False_7.781969558606531_956_multinomial_None_None_2019_0_True_None.pkl"
newton-cg,none,False,0.4468512262164619,40.284690443914855,True,0.19323457597899976,1007,multinomial,,,2019,0,False,,0.8954259930991773,0.006324482314491821,0.0037562917887461467,0.008892672840237495,22,12.415140390396118,"./trained_models/logisticRegression_bank_1_newton-cg_none_False_0.4468512262164619_40.284690443914855_True_0.19323457597899976_1007_multinomial_None_None_2019_0_False_None.pkl"
sag,l2,False,0.8079471203846263,59.75685296954281,False,7.781969558606531,956,multinomial,,,2019,0,True,,0.8817128196054145,0.07718701473601297,0.13116970926301555,0.0232043202090104,23,12.520796775817871,"./trained_models/logisticRegression_bank_1_sag_l2_False_0.8079471203846263_59.75685296954281_False_7.781969558606531_956_multinomial_None_None_2019_0_True_None.pkl"
newton-cg,l2,False,0.748511039304458,97.9104088101993,True,6.993224090378507,982,multinomial,,,2019,0,True,,0.8954259930991773,0.006324482314491821,0.0037562917887461467,0.008892672840237495,24,13.449056148529053,"./trained_models/logisticRegression_bank_1_newton-cg_l2_False_0.748511039304458_97.9104088101993_True_6.993224090378507_982_multinomial_None_None_2019_0_True_None.pkl"
sag,l2,False,0.8442735980346805,69.66429544982368,False,9.55828633540169,1039,ovr,,,2019,0,True,,0.8731310271609307,0.03257774637525815,0.04069673846550115,0.024458754285015157,25,13.544686555862427,"./trained_models/logisticRegression_bank_1_sag_l2_False_0.8442735980346805_69.66429544982368_False_9.55828633540169_1039_ovr_None_None_2019_0_True_None.pkl"
lbfgs,l2,False,0.23699693008897485,63.34108577673649,False,4.984394425087251,1022,ovr,,,2019,0,True,,0.8954259930991773,0.004974333491269248,0.0015776425512733505,0.008371024431265146,26,14.639153718948364,"./trained_models/logisticRegression_bank_1_lbfgs_l2_False_0.23699693008897485_63.34108577673649_False_4.984394425087251_1022_ovr_None_None_2019_0_True_None.pkl"
