criterion,splitter,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,class_weight,ccp_alpha,score,AOD,TPR,FPR,counter,timer,write_file
entropy,random,20,5,1,0.04543110249173112,log2,2019,,0.0,0.0,,0.0,0.8827744846500929,0.0,0.0,0.0,22,8.775302171707153,"./trained_models/decisionTree_bank_1_entropy_random_20_5_1_0.04543110249173112_log2_2019_None_0.0_None_0.0.pkl"
gini,random,,3,3,0.03650287802044329,auto,2019,,0.0,0.0,,0.6614350238020802,0.8827744846500929,0.0,0.0,0.0,23,9.132487058639526,"./trained_models/decisionTree_bank_1_gini_random_None_3_3_0.03650287802044329_auto_2019_None_0.0_None_0.6614350238020802.pkl"
entropy,random,9,5,1,0.04543110249173112,log2,2019,,0.0,0.0,,0.0,0.8827744846500929,0.0,0.0,0.0,24,9.494120359420776,"./trained_models/decisionTree_bank_1_entropy_random_9_5_1_0.04543110249173112_log2_2019_None_0.0_None_0.0.pkl"
gini,best,18,2,5,0.31746470901622914,sqrt,2019,,0.0,0.0,,0.1855400866571156,0.8827744846500929,0.0,0.0,0.0,25,9.850313663482666,"./trained_models/decisionTree_bank_1_gini_best_18_2_5_0.31746470901622914_sqrt_2019_None_0.0_None_0.1855400866571156.pkl"
entropy,best,8,5,2,0.2802273497174623,log2,2019,,0.0,0.0,,0.05925412658825332,0.8827744846500929,0.0,0.0,0.0,26,10.213825464248657,"./trained_models/decisionTree_bank_1_entropy_best_8_5_2_0.2802273497174623_log2_2019_None_0.0_None_0.05925412658825332.pkl"
entropy,random,,2,3,0.0600991923404288,auto,2019,,0.0,0.0,,0.6666984745535403,0.8827744846500929,0.0,0.0,0.0,27,10.573002338409424,"./trained_models/decisionTree_bank_1_entropy_random_None_2_3_0.0600991923404288_auto_2019_None_0.0_None_0.6666984745535403.pkl"
entropy,random,12,5,1,0.04543110249173112,log2,2019,,0.0,0.0,,0.0,0.8827744846500929,0.0,0.0,0.0,28,10.932262182235718,"./trained_models/decisionTree_bank_1_entropy_random_12_5_1_0.04543110249173112_log2_2019_None_0.0_None_0.0.pkl"
gini,random,,4,5,0.23045008913529766,log2,2019,,0.0,0.0,,0.1367411518539356,0.8827744846500929,0.0,0.0,0.0,29,11.287237882614136,"./trained_models/decisionTree_bank_1_gini_random_None_4_5_0.23045008913529766_log2_2019_None_0.0_None_0.1367411518539356.pkl"
entropy,best,,4,1,0.01954433994267133,sqrt,2019,,0.0,0.0,,0.8611965785223827,0.8827744846500929,0.0,0.0,0.0,30,11.651742696762085,"./trained_models/decisionTree_bank_1_entropy_best_None_4_1_0.01954433994267133_sqrt_2019_None_0.0_None_0.8611965785223827.pkl"
gini,best,5,4,4,0.064720292096554,,2019,,0.0,0.0,,0.6204775492746869,0.8827744846500929,0.0,0.0,0.0,31,12.03408932685852,"./trained_models/decisionTree_bank_1_gini_best_5_4_4_0.064720292096554_None_2019_None_0.0_None_0.6204775492746869.pkl"
entropy,random,15,5,3,0.04543110249173112,log2,2019,,0.0,0.0,,0.0,0.8827744846500929,0.0,0.0,0.0,32,12.391647338867188,"./trained_models/decisionTree_bank_1_entropy_random_15_5_3_0.04543110249173112_log2_2019_None_0.0_None_0.0.pkl"
gini,best,6,3,3,0.02446446476116737,auto,2019,,0.0,0.0,,0.8890821473853052,0.8827744846500929,0.0,0.0,0.0,33,12.756696462631226,"./trained_models/decisionTree_bank_1_gini_best_6_3_3_0.02446446476116737_auto_2019_None_0.0_None_0.8890821473853052.pkl"
entropy,best,,3,3,0.1961472355950603,,2019,,0.0,0.0,,0.7491320417544585,0.8827744846500929,0.0,0.0,0.0,34,13.133197784423828,"./trained_models/decisionTree_bank_1_entropy_best_None_3_3_0.1961472355950603_None_2019_None_0.0_None_0.7491320417544585.pkl"
entropy,random,12,5,3,0.04543110249173112,log2,2019,,0.0,0.0,,0.0,0.8827744846500929,0.0,0.0,0.0,35,13.48797869682312,"./trained_models/decisionTree_bank_1_entropy_random_12_5_3_0.04543110249173112_log2_2019_None_0.0_None_0.0.pkl"
gini,random,,3,2,0.0903545615920967,log2,2019,,0.0,0.0,,0.25168431480109293,0.8827744846500929,0.0,0.0,0.0,36,13.840996503829956,"./trained_models/decisionTree_bank_1_gini_random_None_3_2_0.0903545615920967_log2_2019_None_0.0_None_0.25168431480109293.pkl"
gini,random,17,5,3,0.04543110249173112,log2,2019,,0.0,0.0,,0.0,0.8827744846500929,0.0,0.0,0.0,37,14.19605016708374,"./trained_models/decisionTree_bank_1_gini_random_17_5_3_0.04543110249173112_log2_2019_None_0.0_None_0.0.pkl"
gini,random,17,2,4,0.27981071594910023,,2019,,0.0,0.0,,0.15925217160672311,0.8827744846500929,0.0,0.0,0.0,38,14.558229923248291,"./trained_models/decisionTree_bank_1_gini_random_17_2_4_0.27981071594910023_None_2019_None_0.0_None_0.15925217160672311.pkl"
entropy,random,5,5,3,0.3030512465319712,log2,2019,,0.0,0.0,,0.8146045179267772,0.8827744846500929,0.0,0.0,0.0,39,14.9097740650177,"./trained_models/decisionTree_bank_1_entropy_random_5_5_3_0.3030512465319712_log2_2019_None_0.0_None_0.8146045179267772.pkl"
entropy,random,17,5,5,0.2802615573928905,sqrt,2019,,0.0,0.0,,0.48645521772700356,0.8827744846500929,0.0,0.0,0.0,40,15.266722917556763,"./trained_models/decisionTree_bank_1_entropy_random_17_5_5_0.2802615573928905_sqrt_2019_None_0.0_None_0.48645521772700356.pkl"
gini,random,,3,4,0.1694441666590373,log2,2019,,0.0,0.0,,0.7454608267414488,0.8827744846500929,0.0,0.0,0.0,41,15.6214599609375,"./trained_models/decisionTree_bank_1_gini_random_None_3_4_0.1694441666590373_log2_2019_None_0.0_None_0.7454608267414488.pkl"
entropy,random,20,3,3,0.28041936639468173,auto,2019,,0.0,0.0,,0.2529276119088825,0.8827744846500929,0.0,0.0,0.0,42,15.976298570632935,"./trained_models/decisionTree_bank_1_entropy_random_20_3_3_0.28041936639468173_auto_2019_None_0.0_None_0.2529276119088825.pkl"
gini,random,7,5,3,0.04543110249173112,log2,2019,,0.0,0.0,,0.0,0.8827744846500929,0.0,0.0,0.0,43,16.33256959915161,"./trained_models/decisionTree_bank_1_gini_random_7_5_3_0.04543110249173112_log2_2019_None_0.0_None_0.0.pkl"
gini,best,20,5,3,0.2899116311421637,log2,2019,,0.0,0.0,,0.8661390078997552,0.8827744846500929,0.0,0.0,0.0,44,16.690717220306396,"./trained_models/decisionTree_bank_1_gini_best_20_5_3_0.2899116311421637_log2_2019_None_0.0_None_0.8661390078997552.pkl"
